"place_id","place_name","place_url","website","formatted_address","latitude","longitude","street","city","state","country","zipcode","price_level","reservable","takeout","dine_in","serves_lunch","serves_dinner","serves_beer","serves_wine","serves_brunch","serves_vegetarian_food","opening_hours","total_rating_value","total_rating_count","brand"
"ChIJE9on3F3HwoAR9AhGJW_fL-I","Los Angeles","https://maps.google.com/?q=Los+Angeles,+CA,+USA&ftid=0x80c2c75ddc27da13:0xe22fdf6f254608f4","http://www.lacity.org/index.htm","Los Angeles, CA, USA","34.0536909","-118.242766","Los Angeles"," CA","USA","","","","","","","","","","","","","","","","Other"
"ChIJzR3BFo2jwoARzQhg7WF7_jI","Fiesta Feast","https://maps.google.com/?cid=3674510006505441485","https://www.fiestafeastmenu.com/?utm_source=gbp","17336 Sunset Blvd, Pacific Palisades, CA 90272, USA","34.0415812","-118.5186872","17336 Sunset Blvd"," Pacific Palisades","CA"," USA","90272","1","","True","True","True","True","False","False","","","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']}","4","132","Other"
"ChIJrVlhVHrHwoAR-ksiHYQBLVg","IHOP","https://maps.google.com/?cid=6353736316225735674","https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-3165-w-6th-st-717?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=717&utm_content=website","3165 W 6th St, Los Angeles, CA 90020, USA","34.063607078947","-118.29025055263","3165 W 6th St"," Los Angeles","CA"," USA","90020","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}","4.1","3735","Dine Brands"
"ChIJPfaiSN23woARiVMqz2yLz60","IHOP","https://maps.google.com/?cid=12524382388189025161","https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-1880-w-slauson-ave-792?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=792&utm_content=website","1880 W Slauson Ave, Los Angeles, CA 90047, USA","33.989045816327","-118.30983338776","1880 W Slauson Ave"," Los Angeles","CA"," USA","90047","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fAM']}","4.1","2256","Dine Brands"
"ChIJEc_lcqW-woARn1T_Yr_0a9k","Micky's Weho","https://maps.google.com/?cid=15666884831575233695","http://www.mickys.com/","8857 Santa Monica Blvd, West Hollywood, CA 90069, USA","34.0854465","-118.383787","8857 Santa Monica Blvd"," West Hollywood","CA"," USA","90069","2","True","True","True","","","True","True","","","{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 6, 'time': '0400'}, 'open': {'day': 5, 'time': '1700'}}, {'close': {'day': 0, 'time': '0400'}, 'open': {'day': 6, 'time': '1300'}}], 'weekday_text': ['Monday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: Closed', 'Wednesday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u20094:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u20094:00\u202fAM', 'Sunday: 1:00\u202fPM\u2009–\u20092:00\u202fAM']}","3.2","407","Other"
"ChIJeXAC8G7LwoARaCbZsVm43Lk","IHOP","https://maps.google.com/?cid=13392782087268410984","https://restaurants.ihop.com/en-us/ca/compton/breakfast-249-e-compton-blvd-773?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=773&utm_content=website","249 E Compton Blvd, Compton, CA 90220, USA","33.896041411312","-118.22122131859","249 E Compton Blvd"," Compton","CA"," USA","90220","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fAM']}","4.2","1926","Dine Brands"
"ChIJUQLjnZ853YgRGAbKa2A8tYw","Fuzzy’s Taco Shop","https://maps.google.com/?cid=10139076520917468696","https://fuzzystacoshop.com/locations/florida/lakeland/","3950 Florida Ave S, Lakeland, FL 33813, USA","27.995004","-81.957231","3950 Florida Ave S"," Lakeland","FL"," USA","33813","1","False","True","True","True","True","True","True","True","True","{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']}","4.3","2114","Dine Brands"
"ChIJz-2pzajBwoARWgXuM-uBnrs","IHOP","https://maps.google.com/?cid=13519385978601342298","https://restaurants.ihop.com/en-us/ca/glendale/breakfast-605-n-glendale-ave-708?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=708&utm_content=website","605 N Glendale Ave, Glendale, CA 91206, USA","34.1550749","-118.24304150506","605 N Glendale Ave"," Glendale","CA"," USA","91206","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}","4.2","1194","Dine Brands"
"ChIJ46koiiDJwoARTipLSjQRvpA","Taco Bell","https://maps.google.com/?cid=10429792703319059022","https://locations.tacobell.com/ca/huntington-park/2543-slauson-ave.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=033621&utm_content=website&y_source=1_NjE0NDc5OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","2543 Slauson Ave, Huntington Park, CA 90255, USA","33.9894558","-118.22642003559","2543 Slauson Ave"," Huntington Park","CA"," USA","90255","1","","True","True","True","True","False","False","","True","{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 6, 'time': '0300'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 0, 'time': '0300'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20093:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20093:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fAM']}","3.9","1135","Other"
"ChIJH3U277bHwoARlovdEXBQOh8","IHOP","https://maps.google.com/?cid=2250199406091275158","https://restaurants.ihop.com/en-us/ca/los-angeles/breakfast-800-s-flower-st-797?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=797&utm_content=website","800 Flower St, Los Angeles, CA 90017, USA","34.0470446","-118.260069","800 Flower St"," Los Angeles","CA"," USA","90017","1","False","True","True","True","True","False","False","True","True","{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}","4.1","3069","Dine Brands"
