"review_id","id","place_name","place_id","author","review_text","rating","review_date","sentiment"
"64ad504f0f566477328f271c0256c840","ChIJIbgd9K2XwoARDuJASPKNniw","IHOP","ChIJIbgd9K2XwoARDuJASPKNniw","Keren Bazan Morales","My family  and I had dinner at this location. Wendy was our server. Coffee was discussing  it was not fresh coffee. I ordered a new chicken sandwich. I was eating  my sandwich  when I was choking  and got a piece of aluminum out of me. I checked  the sandwich, and the lettuce  was not  fresh, and the avocado   she asked  the  cook  and told her that the sandwich came like that way  that's the  stupid  answer . They didn't offer  to replace  my plate .I came back home hungry    but really disappointed  .   I don't  trust this place  .","1.0","2024-05-16 07:34:38","Negative"
"d6550446f206a27133ef8d9a617d7adf","ChIJ46koiiDJwoARTipLSjQRvpA","Taco Bell","ChIJ46koiiDJwoARTipLSjQRvpA","Louie Villasenor","I placed a mobile order. And custom made 2 Crunch Wrap boxes. I added extra beef in both orders, man they just didn’t skimp out on the beef. 🔥🔥definitely recommend trying this one out.","5.0","2024-03-05 17:01:51","Positive"
"456020774d3b0f2f50c9241b25033e16","ChIJ3S1fOq67woARres8V089cWw","IHOP","ChIJ3S1fOq67woARres8V089cWw","Anthonisha Godfrey","I came to this ihop with my daughter and waited about 30mins before she got her food. My omelette never came. I asked why it was taking so long, and they had no idea. While my daughter took a bite of her sausage there was a mid size egg shell on her sausage! Then, when they finally brought my food the cheese on top of my Omelette wasn't even melted at all.  She asked the cook to melt it and he sat it there for a while before taking it again. I politely refused to take it back and will never come here again!","1.0","2024-05-31 18:27:22","Negative"
"6f09c9e7e14fd6e6464169b55211b3f7","ChIJPfaiSN23woARiVMqz2yLz60","IHOP","ChIJPfaiSN23woARiVMqz2yLz60","Sean Allen","I have been frequenting IHOP for years. The pancakes have a traditional and classic taste that I absolutely love. I appreciate the option for turkey bacon and having real shell cracked eggs - it's a great plus. The presentation is nice, and everything is simple and to the point. It's a fantastic place for families, and I definitely plan to come back IHOP to come back again soon!","5.0","2024-06-12 19:26:01","Positive"
"82bdf621b070157c6c46f1ed3aee4936","ChIJV-vhbYy2woARXQ-lKFiVmX8","Carniceria Los Tapatios","ChIJV-vhbYy2woARXQ-lKFiVmX8","JOnas Chavez","Awesome food.  If you like dishes from Jalisco this is your place. This place is authentic and flavorful.","5.0","2024-07-15 00:08:36","Positive"
"d1ed7c175ccee83d290cbb770415f060","ChIJ46koiiDJwoARTipLSjQRvpA","Taco Bell","ChIJ46koiiDJwoARTipLSjQRvpA","Don Derb Jr","The served me precooked tacos were Stale and soggy and stuck to paper nothing fre about these tacos ....trash and will never go back to this taco bell....","1.0","2024-06-19 19:09:59","Negative"
"c8068bc87f8c6a49289f03236157217f","ChIJFeL7xii4woARg3gOfY4Rh08","IHOP","ChIJFeL7xii4woARg3gOfY4Rh08","christine ivey","Food was basic for what IHOP is known for. Still have to ask for butter pecan syrup instead of it being on the table as a choice. Clean. Friendly compared to their last staff especially the manager with the bad eye...staff turnover is high...","3.0","2024-07-16 02:55:58","Mixed"
"18ac6f9946924aea30d52da685c9c042","ChIJK9vwNo6awoAR3vT6GLYX0uQ","IHOP","ChIJK9vwNo6awoAR3vT6GLYX0uQ","Judith Turner","A great place to go! It wasn’t too busy and the staff were very helpful. Loved that the restrooms were clean and we got our food quickly. I would totally come here again!","5.0","2023-04-25 15:31:29","Positive"
"2ac9656b4b44087bf0e5dd4a0a32342d","ChIJNU6G0lMzs1IRAQewCY0cuOk","Fuzzy's Taco Shop Taqueria","ChIJNU6G0lMzs1IRAQewCY0cuOk","Paul Nordquist","Awesome atmosphere and the staff was super nice. The quesadilla I got was super heavy on the shredded chicken, don’t know hot to describe it other than the ratio of chicken to other ingredients seemed way off. My fiancé got a burrito and loved it though, so it could have been an ordering error on my end! Did get to enjoy a Jarritos, which never misses.","3.0","2023-09-13 20:32:19","Positive"
"d835e7df4242cc31086265ea0575359e","ChIJVYxR9EOVwoARKwL4ttlwG10","IHOP","ChIJVYxR9EOVwoARKwL4ttlwG10","Angel Gonzalez","This was always my go to spot but after what happened on 4/13/2024 at around 10PM I will no longer be coming here. Me and 4 friends walked in and got seated right away. Our waiter had a little bit of attitude and was completely lost, he kept interrupting us while we were ordering and when my friends little sister that is 12 years old ordered off the kid menu. He said to her “ that is only for little kids” (then looks at her) and continues to say “ but just this one time I’ll let it slide” and still managed to get 3/5 of our orders wrong. After ordering it, it took them about an hour and 8 minutes to get our food even though it was lonely. My pancakes were hard and a little burnt but the steak omelette was perfectly fine. The mac and cheese with fries (kids menu item) had light flavor and pasta was still a tiny bit undercooked. The 3 sandwiches that my friends ordered but they had to remake it because they gave us the wrong sandwich. Said that the crispy chicken was very dry but other than that it was perfectly. And on top of that non of us ever got a refill on our drinks. As a worker in customer service I feel embarrassed and very disappointed with how poorly this service was.","1.0","2024-04-14 18:47:15","Negative"
"11d1469140e59d38a8b2d4a954a0be32","ChIJn4LNStXGwoARg_2D76RJgPI","Frogtown Brewery","ChIJn4LNStXGwoARg_2D76RJgPI","Rick Schwartz","Boring compared to San Diego beers. Also their prices are high considering their 9 ounce glassware appears to hold only 5 ounces and their 14 ounce glassware couldn't come close to holding 14 ounces.","3.0","2023-07-30 00:41:54","Negative"
