"review_id","sentence_id","sentence_category","sentence_category_group","sentence_topic","sentence_sentiment","entity"
"2ad8c1fbb9e1244d08e15b6597d9b1e3","4dd9025348624847c754098a9a6853b6","Experience","Payment","Pricing Accuracy","Negative","Box"
"8f57eef930ae03f89f8185aa716b0cd5","e63043c69ecaf1c86e87a2bac6f5d6bf","Food","Quality","Taste","Negative","Pancake Mix"
"0447ce96706a5d637634387957526503","5fe2c51e2cdd894ea578524e693710b2","Food","Menu","Comments","Positive","Pan Cakes"
"01f5d8afa4ee5e5b58937ba306f47123","def2e1eab4a207e6a598eb8b3a32df64","Experience","Payment","Cost of Meal","Negative","$4.99"
"0447ce96706a5d637634387957526503","523a33036ec2eec1c18cef8d21c4cee7","Experience","Cleanliness","Dining Room","Positive","Team"
"4c3741645e06c00f5a33c1a4ed421215","66efe1702e295b5851378455f6abff93","People","Team","Issues","Negative","People"
"df4f7242bd064716000e0eb91fa88fd5","e163ac5db7db7c5109e49ffac7b62b8a","Food","Quality","Taste","Positive","Drinks"
"edd01dd8c20236e200be20574eab2b78","1907a729ed7f28bfd907ff64b1ddd980","Food","Quality","Texture","Positive","Grilled Onions"
"d835e7df4242cc31086265ea0575359e","2afa023336d077cb010ac85da9b6c104","Experience","Ordering","Order Accuracy","Negative","Orders"
"55e697bf71c4c3ee365e7c0e9a945cb1","84965290f62002f9fe49c128b604a3c1","Payment","Cost of Meal","Pricing Accuracy","Negative","Fries"
"d835e7df4242cc31086265ea0575359e","c8cd6dc446faecd0178e7640678e060d","Food","Quality","Taste","Negative","Pasta"
"8f57eef930ae03f89f8185aa716b0cd5","0486e27b4dd3171c1ed1066fe143059c","Food","Quality","Taste","Negative","Bacon"
"0447ce96706a5d637634387957526503","5fe2c51e2cdd894ea578524e693710b2","Food","Menu","Comments","Positive","Bacon Temptation Omelett"
"6ab7af659d2b87158ac39a1682b0e245","b80847114eff423abfd2573a4e9c6302","Experience","Ordering","Order Accuracy","Negative","Gluten Free Pancakes"
"55e697bf71c4c3ee365e7c0e9a945cb1","46c1b821f9dbd667039e747716d3c529","Food","Quality","Taste","Negative","Burrito Wrap"
"d835e7df4242cc31086265ea0575359e","d3b7ba9717a25f7c762f8e053f557b75","Experience","Amenities","Amenities","Negative","Drinks"
"01f5d8afa4ee5e5b58937ba306f47123","8fa63111367278cf39bbe32e2f9795e6","Experience","Payment","Cost of Meal","Negative","Avocado"
"0447ce96706a5d637634387957526503","4462d0dde41a8dfa6efbd3cff4d5685d","Food","Menu","Comments","Positive","Wife"
"4c3741645e06c00f5a33c1a4ed421215","aa982199c8ebdcc918486f3a1c1dbfe7","Experience","Amenities","Issues","Negative","Carts"
"3a7f4c4b1198b8b83df8f86837cb68c6","7eab10f099a349e04c0d175e2665bdff","Experience","Loyalty","Loyalty","Negative","Subway"
"2ad8c1fbb9e1244d08e15b6597d9b1e3","989ce4f6d52322ff07c08bb94a8fd3a5","People","Team","Hospitality","Negative","Manager"
"b63265d2c5ae0ecf115c40aa83fc2ffb","3beeaca0187ccc56ed6ab03bcae71f02","Food","Issues","Temperature","Negative","Meat"
"d3187b851204068fdd7c615055410d92","0428405d5ce0bae79f6b5f87dedd78b7","People","Team","Hospitality","Positive","He"
"d835e7df4242cc31086265ea0575359e","62358c9d46cbfd2501b02fd46a17b3d3","People","Team","Hospitality","Negative","Waiter"
"67b5aaf4da29203653f9691aa312e27b","b73e3417894ccce8a4b0dc0a79060b6b","Food","Quality","Texture","Positive","Fries"
"c7f18ed520f6010dea9431e112cdff4c","ef6f47d2a35508b1f03faae3ac098982","Experience","Ordering","Speed of Service","Positive","Lily"
"b0fd7d937df74721def5f83f0f16528e","c83222eb937e418f189849b6f0f63e07","Food","Quality","Taste","Mixed","Uncle Ben's"
"df24ad8da7224bb9bd55b828d778c1ba","3d5eae9311bc68ede353d49eecf29a37","People","Team","Presentation","Negative","Servers"
"69c0841b17189018f9399b13252f9d9c","f170e8e726e0c69bfeda91581e3e64ba","Experience","Loyalty","Loyalty","Negative","Location"
"181de88bce5e0a2e35f77bd0fd42b5f0","7811ec5bfc8643d5a99a64db078c9e17","Experience","Ordering","Speed of Service","Positive","Drinks"
